Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
s yk,OTHER_INDOOR,30-12-2021,14:50:02,00:23:28,,82,,,,,101,,,,,,,,,,,170.0,70.0,196,55,55,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,73,,,,,,,,,
,00:00:03,74,,,,,,,,,
,00:00:04,74,,,,,,,,,
,00:00:05,75,,,,,,,,,
,00:00:06,75,,,,,,,,,
,00:00:07,76,,,,,,,,,
,00:00:08,76,,,,,,,,,
,00:00:09,75,,,,,,,,,
,00:00:10,74,,,,,,,,,
,00:00:11,73,,,,,,,,,
,00:00:12,72,,,,,,,,,
,00:00:13,71,,,,,,,,,
,00:00:14,70,,,,,,,,,
,00:00:15,69,,,,,,,,,
,00:00:16,69,,,,,,,,,
,00:00:17,69,,,,,,,,,
,00:00:18,69,,,,,,,,,
,00:00:19,70,,,,,,,,,
,00:00:20,70,,,,,,,,,
,00:00:21,71,,,,,,,,,
,00:00:22,72,,,,,,,,,
,00:00:23,73,,,,,,,,,
,00:00:24,73,,,,,,,,,
,00:00:25,74,,,,,,,,,
,00:00:26,75,,,,,,,,,
,00:00:27,76,,,,,,,,,
,00:00:28,76,,,,,,,,,
,00:00:29,77,,,,,,,,,
,00:00:30,78,,,,,,,,,
,00:00:31,79,,,,,,,,,
,00:00:32,80,,,,,,,,,
,00:00:33,82,,,,,,,,,
,00:00:34,83,,,,,,,,,
,00:00:35,85,,,,,,,,,
,00:00:36,87,,,,,,,,,
,00:00:37,88,,,,,,,,,
,00:00:38,88,,,,,,,,,
,00:00:39,88,,,,,,,,,
,00:00:40,88,,,,,,,,,
,00:00:41,87,,,,,,,,,
,00:00:42,86,,,,,,,,,
,00:00:43,85,,,,,,,,,
,00:00:44,84,,,,,,,,,
,00:00:45,82,,,,,,,,,
,00:00:46,81,,,,,,,,,
,00:00:47,81,,,,,,,,,
,00:00:48,80,,,,,,,,,
,00:00:49,77,,,,,,,,,
,00:00:50,76,,,,,,,,,
,00:00:51,75,,,,,,,,,
,00:00:52,74,,,,,,,,,
,00:00:53,73,,,,,,,,,
,00:00:54,73,,,,,,,,,
,00:00:55,73,,,,,,,,,
,00:00:56,73,,,,,,,,,
,00:00:57,73,,,,,,,,,
,00:00:58,73,,,,,,,,,
,00:00:59,73,,,,,,,,,
,00:01:00,73,,,,,,,,,
,00:01:01,73,,,,,,,,,
,00:01:02,73,,,,,,,,,
,00:01:03,74,,,,,,,,,
,00:01:04,74,,,,,,,,,
,00:01:05,75,,,,,,,,,
,00:01:06,76,,,,,,,,,
,00:01:07,77,,,,,,,,,
,00:01:08,79,,,,,,,,,
,00:01:09,80,,,,,,,,,
,00:01:10,81,,,,,,,,,
,00:01:11,82,,,,,,,,,
,00:01:12,82,,,,,,,,,
,00:01:13,82,,,,,,,,,
,00:01:14,82,,,,,,,,,
,00:01:15,82,,,,,,,,,
,00:01:16,82,,,,,,,,,
,00:01:17,82,,,,,,,,,
,00:01:18,82,,,,,,,,,
,00:01:19,81,,,,,,,,,
,00:01:20,81,,,,,,,,,
,00:01:21,80,,,,,,,,,
,00:01:22,80,,,,,,,,,
,00:01:23,80,,,,,,,,,
,00:01:24,80,,,,,,,,,
,00:01:25,80,,,,,,,,,
,00:01:26,79,,,,,,,,,
,00:01:27,79,,,,,,,,,
,00:01:28,79,,,,,,,,,
,00:01:29,80,,,,,,,,,
,00:01:30,80,,,,,,,,,
,00:01:31,80,,,,,,,,,
,00:01:32,81,,,,,,,,,
,00:01:33,80,,,,,,,,,
,00:01:34,80,,,,,,,,,
,00:01:35,80,,,,,,,,,
,00:01:36,79,,,,,,,,,
,00:01:37,80,,,,,,,,,
,00:01:38,81,,,,,,,,,
,00:01:39,80,,,,,,,,,
,00:01:40,79,,,,,,,,,
,00:01:41,80,,,,,,,,,
,00:01:42,80,,,,,,,,,
,00:01:43,80,,,,,,,,,
,00:01:44,79,,,,,,,,,
,00:01:45,79,,,,,,,,,
,00:01:46,79,,,,,,,,,
,00:01:47,79,,,,,,,,,
,00:01:48,78,,,,,,,,,
,00:01:49,78,,,,,,,,,
,00:01:50,77,,,,,,,,,
,00:01:51,77,,,,,,,,,
,00:01:52,77,,,,,,,,,
,00:01:53,76,,,,,,,,,
,00:01:54,75,,,,,,,,,
,00:01:55,76,,,,,,,,,
,00:01:56,76,,,,,,,,,
,00:01:57,76,,,,,,,,,
,00:01:58,76,,,,,,,,,
,00:01:59,76,,,,,,,,,
,00:02:00,76,,,,,,,,,
,00:02:01,77,,,,,,,,,
,00:02:02,77,,,,,,,,,
,00:02:03,77,,,,,,,,,
,00:02:04,77,,,,,,,,,
,00:02:05,77,,,,,,,,,
,00:02:06,76,,,,,,,,,
,00:02:07,76,,,,,,,,,
,00:02:08,75,,,,,,,,,
,00:02:09,74,,,,,,,,,
,00:02:10,73,,,,,,,,,
,00:02:11,72,,,,,,,,,
,00:02:12,71,,,,,,,,,
,00:02:13,70,,,,,,,,,
,00:02:14,70,,,,,,,,,
,00:02:15,70,,,,,,,,,
,00:02:16,70,,,,,,,,,
,00:02:17,70,,,,,,,,,
,00:02:18,70,,,,,,,,,
,00:02:19,70,,,,,,,,,
,00:02:20,70,,,,,,,,,
,00:02:21,70,,,,,,,,,
,00:02:22,70,,,,,,,,,
,00:02:23,70,,,,,,,,,
,00:02:24,70,,,,,,,,,
,00:02:25,70,,,,,,,,,
,00:02:26,70,,,,,,,,,
,00:02:27,70,,,,,,,,,
,00:02:28,70,,,,,,,,,
,00:02:29,70,,,,,,,,,
,00:02:30,70,,,,,,,,,
,00:02:31,70,,,,,,,,,
,00:02:32,70,,,,,,,,,
,00:02:33,70,,,,,,,,,
,00:02:34,70,,,,,,,,,
,00:02:35,70,,,,,,,,,
,00:02:36,70,,,,,,,,,
,00:02:37,70,,,,,,,,,
,00:02:38,70,,,,,,,,,
,00:02:39,70,,,,,,,,,
,00:02:40,70,,,,,,,,,
,00:02:41,70,,,,,,,,,
,00:02:42,70,,,,,,,,,
,00:02:43,70,,,,,,,,,
