Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
s yk,OTHER_INDOOR,03-01-2022,15:07:00,02:18:40,,97,,,,,850,,,,,,,,,,,170.0,70.0,,,55,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,86,,,,,,,,,
,00:00:01,86,,,,,,,,,
,00:00:02,86,,,,,,,,,
,00:00:03,86,,,,,,,,,
,00:00:04,86,,,,,,,,,
,00:00:05,86,,,,,,,,,
,00:00:06,86,,,,,,,,,
,00:00:07,86,,,,,,,,,
,00:00:08,86,,,,,,,,,
,00:00:09,86,,,,,,,,,
,00:00:10,86,,,,,,,,,
,00:00:11,86,,,,,,,,,
,00:00:12,86,,,,,,,,,
,00:00:13,86,,,,,,,,,
,00:00:14,86,,,,,,,,,
,00:00:15,87,,,,,,,,,
,00:00:16,89,,,,,,,,,
,00:00:17,91,,,,,,,,,
,00:00:18,91,,,,,,,,,
,00:00:19,93,,,,,,,,,
,00:00:20,96,,,,,,,,,
,00:00:21,97,,,,,,,,,
,00:00:22,98,,,,,,,,,
,00:00:23,98,,,,,,,,,
,00:00:24,97,,,,,,,,,
,00:00:25,97,,,,,,,,,
,00:00:26,97,,,,,,,,,
,00:00:27,97,,,,,,,,,
,00:00:28,96,,,,,,,,,
,00:00:29,96,,,,,,,,,
,00:00:30,96,,,,,,,,,
,00:00:31,96,,,,,,,,,
,00:00:32,96,,,,,,,,,
,00:00:33,97,,,,,,,,,
,00:00:34,97,,,,,,,,,
,00:00:35,97,,,,,,,,,
,00:00:36,97,,,,,,,,,
,00:00:37,97,,,,,,,,,
,00:00:38,97,,,,,,,,,
,00:00:39,97,,,,,,,,,
,00:00:40,98,,,,,,,,,
,00:00:41,97,,,,,,,,,
,00:00:42,97,,,,,,,,,
,00:00:43,96,,,,,,,,,
,00:00:44,96,,,,,,,,,
,00:00:45,96,,,,,,,,,
,00:00:46,95,,,,,,,,,
,00:00:47,95,,,,,,,,,
,00:00:48,95,,,,,,,,,
,00:00:49,95,,,,,,,,,
,00:00:50,95,,,,,,,,,
,00:00:51,95,,,,,,,,,
,00:00:52,95,,,,,,,,,
,00:00:53,95,,,,,,,,,
,00:00:54,94,,,,,,,,,
,00:00:55,94,,,,,,,,,
,00:00:56,94,,,,,,,,,
,00:00:57,94,,,,,,,,,
,00:00:58,94,,,,,,,,,
,00:00:59,94,,,,,,,,,
,00:01:00,94,,,,,,,,,
,00:01:01,94,,,,,,,,,
,00:01:02,94,,,,,,,,,
,00:01:03,94,,,,,,,,,
,00:01:04,94,,,,,,,,,
,00:01:05,94,,,,,,,,,
,00:01:06,94,,,,,,,,,
,00:01:07,94,,,,,,,,,
,00:01:08,94,,,,,,,,,
,00:01:09,94,,,,,,,,,
,00:01:10,93,,,,,,,,,
,00:01:11,93,,,,,,,,,
,00:01:12,93,,,,,,,,,
,00:01:13,93,,,,,,,,,
,00:01:14,94,,,,,,,,,
,00:01:15,94,,,,,,,,,
,00:01:16,94,,,,,,,,,
,00:01:17,94,,,,,,,,,
,00:01:18,94,,,,,,,,,
,00:01:19,94,,,,,,,,,
,00:01:20,93,,,,,,,,,
,00:01:21,93,,,,,,,,,
,00:01:22,93,,,,,,,,,
,00:01:23,93,,,,,,,,,
,00:01:24,94,,,,,,,,,
,00:01:25,94,,,,,,,,,
,00:01:26,94,,,,,,,,,
,00:01:27,93,,,,,,,,,
,00:01:28,93,,,,,,,,,
,00:01:29,93,,,,,,,,,
,00:01:30,93,,,,,,,,,
,00:01:31,93,,,,,,,,,
,00:01:32,92,,,,,,,,,
,00:01:33,92,,,,,,,,,
,00:01:34,93,,,,,,,,,
,00:01:35,93,,,,,,,,,
,00:01:36,94,,,,,,,,,
,00:01:37,94,,,,,,,,,
,00:01:38,95,,,,,,,,,
,00:01:39,95,,,,,,,,,
,00:01:40,95,,,,,,,,,
,00:01:41,98,,,,,,,,,
,00:01:42,98,,,,,,,,,
,00:01:43,99,,,,,,,,,
,00:01:44,100,,,,,,,,,
,00:01:45,101,,,,,,,,,
,00:01:46,102,,,,,,,,,
,00:01:47,103,,,,,,,,,
,00:01:48,103,,,,,,,,,
,00:01:49,103,,,,,,,,,
,00:01:50,103,,,,,,,,,
,00:01:51,105,,,,,,,,,
,00:01:52,107,,,,,,,,,
,00:01:53,108,,,,,,,,,
,00:01:54,109,,,,,,,,,
,00:01:55,110,,,,,,,,,
,00:01:56,112,,,,,,,,,
,00:01:57,113,,,,,,,,,
,00:01:58,114,,,,,,,,,
,00:01:59,114,,,,,,,,,
,00:02:00,114,,,,,,,,,
,00:02:01,114,,,,,,,,,
,00:02:02,114,,,,,,,,,
,00:02:03,114,,,,,,,,,
,00:02:04,114,,,,,,,,,
,00:02:05,113,,,,,,,,,
,00:02:06,112,,,,,,,,,
,00:02:07,112,,,,,,,,,
,00:02:08,111,,,,,,,,,
,00:02:09,111,,,,,,,,,
,00:02:10,111,,,,,,,,,
,00:02:11,111,,,,,,,,,
,00:02:12,110,,,,,,,,,
,00:02:13,109,,,,,,,,,
,00:02:14,109,,,,,,,,,
,00:02:15,109,,,,,,,,,
,00:02:16,107,,,,,,,,,
,00:02:17,107,,,,,,,,,
,00:02:18,107,,,,,,,,,
,00:02:19,107,,,,,,,,,
,00:02:20,108,,,,,,,,,
,00:02:21,108,,,,,,,,,
,00:02:22,108,,,,,,,,,
,00:02:23,108,,,,,,,,,
,00:02:24,108,,,,,,,,,
,00:02:25,108,,,,,,,,,
,00:02:26,108,,,,,,,,,
,00:02:27,108,,,,,,,,,
,00:02:28,108,,,,,,,,,
,00:02:29,107,,,,,,,,,
,00:02:30,106,,,,,,,,,
,00:02:31,106,,,,,,,,,
,00:02:32,106,,,,,,,,,
,00:02:33,106,,,,,,,,,
,00:02:34,105,,,,,,,,,
,00:02:35,105,,,,,,,,,
,00:02:36,103,,,,,,,,,
,00:02:37,103,,,,,,,,,
,00:02:38,101,,,,,,,,,
,00:02:39,100,,,,,,,,,
,00:02:40,99,,,,,,,,,
,00:02:41,99,,,,,,,,,
,00:02:42,99,,,,,,,,,
,00:02:43,99,,,,,,,,,
